threads,length,avg,stdev,min,max,valid
8,4096,0.00031857905,1.3180018762365846e-05,0.000297792,0.000349167,20
16,4096,0.000323075,1.5804418246340583e-05,0.000308042,0.000366792,20
32,4096,0.00032132305,1.6249017040634857e-05,0.000304375,0.000365375,20
64,4096,0.00031393315,1.8090555169610937e-05,0.000301125,0.000372542,20
1,8192,0.00066488335,3.990784448052261e-05,0.000620959,0.000771042,20
2,8192,0.0006444291,3.3171239519388343e-05,0.000616042,0.000725875,20
4,8192,0.0006447293,2.5536255660695858e-05,0.000619042,0.000700459,20
8,8192,0.00065116465,2.9205810693070545e-05,0.000614541,0.000716542,20
16,8192,0.0006529687,2.612432215207245e-05,0.000612125,0.000697542,20
32,8192,0.0006747959,3.855610689549505e-05,0.000622,0.000764417,20
64,8192,0.000655425,3.020715166801957e-05,0.000619417,0.000731292,20
1,16384,0.001338237,5.953367495530754e-05,0.00127483,0.00147454,20
2,16384,0.001330566,3.828034639341708e-05,0.00127221,0.00140687,20
4,16384,0.0013408475,4.358793699311531e-05,0.00128479,0.00144258,20
8,16384,0.0013469615,6.548733371102346e-05,0.00126296,0.00150208,20
16,16384,0.0013198245,5.553320329458671e-05,0.00127517,0.00148813,20
32,16384,0.0013379795,4.461225043875872e-05,0.0012915,0.00146213,20
64,16384,0.001357314,5.2267984303566706e-05,0.00129471,0.00144612,20
1,32768,0.0027846585,0.00016597726852208598,0.00263546,0.00319283,20
2,32768,0.0027266375,8.40732441871842e-05,0.00261767,0.00288563,20
4,32768,0.0027526285,0.00015069151634259826,0.00261421,0.00312367,20
8,32768,0.0027368785,0.00014830071633695037,0.00258638,0.00310004,20
16,32768,0.00278109,0.00012191169383917541,0.00259521,0.00298533,20
32,32768,0.002709241,0.00010992116126426347,0.00259204,0.00299108,20
64,32768,0.0027322315,0.00012206492186645258,0.00258437,0.00300388,20
1,65536,0.0056229065,0.00023214666324443753,0.00538387,0.00610329,20
2,65536,0.005629235,0.00023517645685292292,0.00533217,0.00610933,20
4,65536,0.005589721,0.00022888339412069746,0.0052435,0.00630425,20
8,65536,0.0056062465,0.00024387664164437071,0.0051075,0.00601192,20
16,65536,0.0055811335,0.00032942786109564664,0.00489863,0.00654808,20
32,65536,0.005601836,0.00028771252923342545,0.00514017,0.00610017,20
64,65536,0.0056216,0.00024411690572993488,0.00512504,0.00605979,20
1,131072,0.01166371,0.0003669847306446359,0.0112186,0.012382,20
2,131072,0.01148603,0.0004603349891226241,0.0107838,0.0125127,20
4,131072,0.0051640735,0.00030589850993727,0.00489696,0.00629246,20
8,131072,0.0054538135,0.0004242439158547084,0.00496471,0.00635479,20
16,131072,0.005309356,0.0003148805579463928,0.00500396,0.00621225,20
32,131072,0.005330433,0.0004124142863177116,0.00483883,0.00642733,20
64,131072,0.0051656525,0.0001265471319259517,0.00494171,0.00551904,20
1,262144,0.02600108,0.0062958570262807295,0.0230194,0.0491158,20
2,262144,0.023588825,0.0011975266435339479,0.020844,0.0254233,20
4,262144,0.010677859,0.0006266395444616928,0.00932213,0.0116945,20
8,262144,0.0096022555,0.0005989360210931503,0.00871321,0.0109251,20
16,262144,0.0095951565,0.0021012713726350357,0.00811083,0.018152,20
32,262144,0.009197283,0.000875038964546572,0.00822392,0.0107104,20
64,262144,0.009240357499999999,0.0008223666157203341,0.00829633,0.0109141,20
1,524288,0.052016215,0.006164755244492681,0.0487517,0.0775084,20
2,524288,0.04633902,0.00213829184005906,0.0428126,0.053553,20
4,524288,0.02226119,0.005726178656137093,0.019817,0.0459586,20
8,524288,0.017977205,0.0012377008968137999,0.016208,0.0206058,20
16,524288,0.016566235,0.0017305129383402937,0.0145625,0.019634,20
32,524288,0.01592233,0.0008993834672473663,0.0146514,0.0179299,20
64,524288,0.01656951,0.001726090879445594,0.0144236,0.0198294,20
1,1048576,0.105299625,0.005578537962667374,0.0989325,0.123619,20
2,1048576,0.09247716,0.005943862267955161,0.084614,0.114166,20
4,1048576,0.042199835,0.002128640064571744,0.0386882,0.0482832,20
8,1048576,0.034546945,0.0020738187535571336,0.0316493,0.0396857,20
16,1048576,0.03089099,0.0019120522154563609,0.0283926,0.0352662,20
32,1048576,0.030749325,0.0023933951009689363,0.0283903,0.036773,20
64,1048576,0.040972395,0.036117200835780155,0.0288338,0.193345,20
1,2097152,0.21940535,0.022185784342029755,0.202029,0.305626,20
2,2097152,0.1858515,0.004197608159792654,0.175911,0.193799,20
4,2097152,0.095838305,0.011358404248256697,0.0836021,0.129753,20
8,2097152,0.072834275,0.00790814206344688,0.0654703,0.101667,20
16,2097152,0.068662775,0.008784259447615735,0.0606699,0.100176,20
32,2097152,0.066514925,0.007414936702492726,0.0597786,0.0941749,20
64,2097152,0.06634943,0.00812280633590581,0.0597245,0.09763,20
1,4194304,0.44692065,0.01991387278751595,0.416062,0.487957,20
2,4194304,0.37576455,0.008288749099167343,0.360395,0.394954,20
4,4194304,0.2014606,0.02288348721676834,0.1711,0.239498,20
8,4194304,0.1468109,0.006507246316304052,0.134798,0.158919,20
16,4194304,0.14174255,0.012023252535137247,0.127276,0.172902,20
32,4194304,0.1373556,0.0065845719790559205,0.127987,0.151949,20
64,4194304,0.14231939999999998,0.013491958304271863,0.13018,0.189985,20
1,8388608,0.91923415,0.11560617309882401,0.861809,1.39889,20
2,8388608,0.7904215,0.04602631127209511,0.735699,0.932773,20
4,8388608,0.3918197,0.01847427911306334,0.368389,0.444059,20
8,8388608,0.40082,0.11501544892157566,0.290636,0.702156,20
16,8388608,0.29773004999999997,0.02427463837114778,0.267314,0.367448,20
32,8388608,0.31367775,0.024547510699983205,0.279018,0.366329,20
64,8388608,0.30672710000000003,0.03950536215023288,0.270764,0.418203,20
1,16777216,1.8412085,0.06618644902450714,1.76017,2.00285,20
2,16777216,1.586198,0.0477748466741322,1.53478,1.69485,20
4,16777216,0.7967651,0.04476335698325726,0.712696,0.873174,20
8,16777216,0.63543775,0.03152239863948875,0.583528,0.723036,20
16,16777216,0.6073069,0.03715913659540262,0.555989,0.690883,20
32,16777216,0.6263027,0.04501328745709135,0.569185,0.757356,20
64,16777216,0.64781435,0.029207679252075222,0.610355,0.715527,20
1,33554432,3.8488305,0.1718786069929649,3.65522,4.42883,20
2,33554432,3.2361265,0.2503522900418738,3.04931,4.20233,20
4,33554432,1.6895149999999999,0.10744887844434378,1.53524,2.04792,20
8,33554432,1.4422375,0.07226220974049265,1.33119,1.56488,20
16,33554432,1.5359525,0.23786827805310104,1.37592,2.45766,20
32,33554432,1.8191265,0.13006637950131059,1.62031,2.0694,20
64,33554432,1.6132695,0.21185663594627782,1.40285,2.09669,20
